DHR,No Information,No Information
DIS,Communication Services,Walt Disney Company (The)
DISCA,Communication Services,"Discovery, Inc. - Series A"
DISCK,Communication Services,"Discovery, Inc. - Series C"
DISH,Communication Services,DISH Network Corporation
DLR,No Information,No Information
DLTR,Consumer Defensive,"Dollar Tree, Inc."
DOV,Industrials,Dover Corporation
DOW,Basic Materials,Dow Inc.
DPZ,Consumer Cyclical,Domino's Pizza Inc
DRE,No Information,No Information
DRI,Consumer Cyclical,"Darden Restaurants, Inc."
DTE,Utilities,DTE Energy Company
DUK,No Information,No Information
DVA,Healthcare,DaVita Inc.
DVN,No Information,No Information
DXC,Technology,DXC Technology Company
DXCM,Healthcare,"DexCom, Inc."
EA,Communication Services,Electronic Arts Inc.
EBAY,Consumer Cyclical,eBay Inc.
ECL,Basic Materials,Ecolab Inc.
ED,Utilities,"Consolidated Edison, Inc."
EFX,Industrials,"Equifax, Inc."
EIX,Utilities,Edison International
EL,Consumer Defensive,"Estee Lauder Companies, Inc. (T"
EMN,Basic Materials,Eastman Chemical Company
EMR,Industrials,Emerson Electric Company
EOG,Energy,"EOG Resources, Inc."
EQIX,No Information,No Information
EQR,Real Estate,Equity Residential
ES,Utilities,Eversource Energy (D/B/A)
ESS,Real Estate,"Essex Property Trust, Inc."
ETFC,No Information,No Information
ETN,No Information,No Information
ETR,No Information,No Information
EVRG,No Information,No Information
EW,Healthcare,Edwards Lifesciences Corporatio
EXC,Utilities,Exelon Corporation
EXPD,No Information,No Information
EXPE,No Information,No Information
EXR,Real Estate,Extra Space Storage Inc
F,No Information,No Information
FANG,Energy,"Diamondback Energy, Inc. - Comm"
FAST,Industrials,Fastenal Company
FB,Communication Services,"Facebook, Inc."
FBHS,Consumer Cyclical,"Fortune Brands Home & Security,"
FCX,No Information,No Information
FDX,No Information,No Information
FE,No Information,No Information
FFIV,Technology,"F5 Networks, Inc."
FIS,Technology,Fidelity National Information S
FISV,Technology,"Fiserv, Inc."
FITB,Financial Services,Fifth Third Bancorp
FLIR,Technology,"FLIR Systems, Inc."
FLS,No Information,No Information
FLT,Technology,"FleetCor Technologies, Inc."
FMC,No Information,No Information
FOX,Communication Services,Fox Corporation
FOXA,Communication Services,Fox Corporation
FRC,Financial Services,FIRST REPUBLIC BANK
FRT,Real Estate,Federal Realty Investment Trust
FTI,Energy,TechnipFMC plc
FTNT,Technology,"Fortinet, Inc."
FTV,Technology,Fortive Corporation
GD,No Information,No Information
GE,Industrials,General Electric Company
GILD,Healthcare,"Gilead Sciences, Inc."
GIS,Consumer Defensive,"General Mills, Inc."
GL,Financial Services,Globe Life Inc.
GLW,Technology,Corning Incorporated
GM,Consumer Cyclical,General Motors Company
GOOG,Communication Services,Google Inc.
GPC,Consumer Cyclical,Genuine Parts Company
GPN,Industrials,Global Payments Inc.
GPS,No Information,No Information
GRMN,No Information,No Information
GS,Financial Services,"Goldman Sachs Group, Inc. (The)"
GWW,Industrials,"W.W. Grainger, Inc."
HAL,Energy,Halliburton Company
HAS,Consumer Cyclical,"Hasbro, Inc."
HBAN,Financial Services,Huntington Bancshares Incorpora
HBI,Consumer Cyclical,Hanesbrands Inc.
HCA,Healthcare,"HCA Healthcare, Inc."
HD,No Information,No Information
HES,No Information,No Information
HFC,No Information,No Information
HIG,Financial Services,Hartford Financial Services Gro
HII,No Information,No Information
HLT,No Information,No Information
HOLX,Healthcare,"Hologic, Inc."
HON,No Information,No Information
HPE,Technology,Hewlett Packard Enterprise Comp
HPQ,Technology,HP Inc.
HRB,Consumer Cyclical,"H&R Block, Inc."
HRL,Consumer Defensive,Hormel Foods Corporation
HSIC,Healthcare,"Henry Schein, Inc."
HST,No Information,No Information
HSY,Consumer Defensive,The Hershey Company
HUM,Healthcare,Humana Inc.
HWM,No Information,No Information
IBM,Technology,International Business Machines
ICE,Financial Services,Intercontinental Exchange Inc.
IDXX,Healthcare,"IDEXX Laboratories, Inc."
IEX,Industrials,IDEX Corporation
IFF,Basic Materials,Internationa Flavors & Fragranc
ILMN,Healthcare,"Illumina, Inc."
INCY,Healthcare,Incyte Corporation
INFO,Industrials,IHS Markit Ltd.
INTC,Technology,Intel Corporation
INTU,Technology,Intuit Inc.
IP,Consumer Cyclical,International Paper Company
IPG,Communication Services,"Interpublic Group of Companies,"
IPGP,Technology,IPG Photonics Corporation
IQV,Healthcare,"IQVIA Holdings, Inc."
IR,No Information,No Information
IRM,Real Estate,Iron Mountain Incorporated (Del
ISRG,No Information,No Information
IT,No Information,No Information
ITW,Industrials,Illinois Tool Works Inc.
IVZ,Financial Services,Invesco Ltd
J,Industrials,Jacobs Engineering Group Inc.
JBHT,Industrials,"J.B. Hunt Transport Services, I"
JCI,Industrials,Johnson Controls International 
JKHY,No Information,No Information
JNJ,Healthcare,Johnson & Johnson
JNPR,Technology,"Juniper Networks, Inc."
JPM,No Information,No Information
K,Consumer Defensive,Kellogg Company
KEY,Financial Services,KeyCorp
KEYS,No Information,No Information
KHC,Consumer Defensive,The Kraft Heinz Company
KIM,Real Estate,Kimco Realty Corporation
KLAC,Technology,KLA Corporation
KMB,Consumer Defensive,Kimberly-Clark Corporation
KMI,Energy,"Kinder Morgan, Inc."
KMX,Consumer Cyclical,CarMax Inc
KO,Consumer Defensive,Coca-Cola Company (The)
KR,No Information,No Information
KSS,Consumer Cyclical,Kohl's Corporation
KSU,No Information,No Information
L,Financial Services,Loews Corporation
LB,Consumer Cyclical,"L Brands, Inc."
LDOS,Technology,"Leidos Holdings, Inc."
LEG,Consumer Cyclical,"Leggett & Platt, Incorporated"
LEN,Consumer Cyclical,Lennar Corporation
LH,No Information,No Information
LHX,No Information,No Information
LIN,Basic Materials,Linde plc
LKQ,No Information,No Information
LLY,Healthcare,Eli Lilly and Company
LMT,Industrials,Lockheed Martin Corporation
LNC,Financial Services,Lincoln National Corporation
LNT,Utilities,Alliant Energy Corporation
LOW,Consumer Cyclical,"Lowe's Companies, Inc."
LRCX,Technology,Lam Research Corporation
LUV,Industrials,Southwest Airlines Company
LVS,Consumer Cyclical,Las Vegas Sands Corp.
LW,Consumer Defensive,"Lamb Weston Holdings, Inc."
LYB,Basic Materials,LyondellBasell Industries NV
LYV,No Information,No Information
MA,Financial Services,Mastercard Incorporated
MAA,No Information,No Information
MAR,Consumer Cyclical,Marriott International
MAS,Industrials,Masco Corporation
MCD,Consumer Cyclical,McDonald's Corporation
MCHP,Technology,Microchip Technology Incorporat
MCK,No Information,No Information
MCO,No Information,No Information
MDLZ,No Information,No Information
MDT,Healthcare,Medtronic plc.
MET,Financial Services,"MetLife, Inc."
MGM,Consumer Cyclical,MGM Resorts International
MHK,Consumer Cyclical,"Mohawk Industries, Inc."
MKC,Consumer Defensive,"McCormick & Company, Incorporat"
MKTX,Financial Services,"MarketAxess Holdings, Inc."
MLM,Basic Materials,"Martin Marietta Materials, Inc."
MMC,No Information,No Information
MMM,No Information,No Information
MNST,No Information,No Information
MO,Consumer Defensive,"Altria Group, Inc."
MOS,Basic Materials,Mosaic Company (The)
MPC,Energy,Marathon Petroleum Corporation
MRK,No Information,No Information
MRO,Energy,Marathon Oil Corporation
MS,No Information,No Information
MSCI,Financial Services,MSCI Inc
MSFT,Technology,Microsoft Corporation
MSI,No Information,No Information
MTB,No Information,No Information
MTD,Healthcare,"Mettler-Toledo International, I"
MU,Technology,"Micron Technology, Inc."
MXIM,Technology,"Maxim Integrated Products, Inc."
MYL,Healthcare,Mylan N.V.
NBL,No Information,No Information
NCLH,Consumer Cyclical,Norwegian Cruise Line Holdings 
NDAQ,Financial Services,"Nasdaq, Inc."
NEE,No Information,No Information
NEM,Basic Materials,Newmont Corporation
NFLX,No Information,No Information
NI,No Information,No Information
NKE,Consumer Cyclical,"Nike, Inc."
NLOK,Technology,NortonLifeLock Inc.
NLSN,Industrials,Nielsen N.V.
NOC,No Information,No Information
NOV,Energy,"National Oilwell Varco, Inc."
NOW,Technology,"ServiceNow, Inc."
NRG,Utilities,"NRG Energy, Inc."
NSC,Industrials,Norfolk Southern Corporation
NTAP,Technology,"NetApp, Inc."
NTRS,Financial Services,Northern Trust Corporation
NUE,Basic Materials,Nucor Corporation
NVDA,Technology,NVIDIA Corporation
NVR,No Information,No Information
NWL,No Information,No Information
NWS,Communication Services,News Corporation
NWSA,Communication Services,News Corporation
O,Real Estate,Realty Income Corporation
ODFL,Industrials,"Old Dominion Freight Line, Inc."
OKE,No Information,No Information
OMC,No Information,No Information
ORCL,Technology,Oracle Corporation
ORLY,Consumer Cyclical,"O'Reilly Automotive, Inc."
OTIS,Industrials,Otis Worldwide Corporation
OXY,Energy,Occidental Petroleum Corporatio
PAYC,No Information,No Information
PAYX,Industrials,"Paychex, Inc."
PBCT,Financial Services,People's
PCAR,Industrials,PACCAR Inc.
PEAK,No Information,No Information
PEG,No Information,No Information
PEP,Consumer Defensive,"Pepsico, Inc."
PFE,Healthcare,"Pfizer, Inc."
PFG,Financial Services,Principal Financial Group Inc
PG,No Information,No Information
PGR,Financial Services,Progressive Corporation (The)
PH,Industrials,Parker-Hannifin Corporation
PHM,No Information,No Information
PKG,Consumer Cyclical,Packaging Corporation of Americ
PKI,No Information,No Information
PLD,Real Estate,"Prologis, Inc."
PM,Consumer Defensive,Philip Morris International Inc
PNC,Financial Services,"PNC Financial Services Group, I"
PNR,No Information,No Information
PNW,No Information,No Information
PPG,No Information,No Information
PPL,No Information,No Information
PRGO,Healthcare,Perrigo Company plc
PRU,Financial Services,"Prudential Financial, Inc."
PSA,Real Estate,Public Storage
PSX,Energy,Phillips 66
PVH,Consumer Cyclical,PVH Corp.
PWR,Industrials,"Quanta Services, Inc."
PXD,No Information,No Information
PYPL,Financial Services,"PayPal Holdings, Inc."
QCOM,Technology,QUALCOMM Incorporated
QRVO,Technology,"Qorvo, Inc."
RCL,Consumer Cyclical,D/B/A Royal Caribbean Cruises L
RE,No Information,No Information
REG,Real Estate,Regency Centers Corporation
REGN,Healthcare,"Regeneron Pharmaceuticals, Inc."
RF,Financial Services,Regions Financial Corporation
RHI,No Information,No Information
RJF,No Information,No Information
RL,No Information,No Information
RMD,Healthcare,ResMed Inc.
ROK,Industrials,"Rockwell Automation, Inc."
ROL,Consumer Cyclical,"Rollins, Inc."
ROP,Industrials,"Roper Technologies, Inc."
ROST,Consumer Cyclical,"Ross Stores, Inc."
RSG,No Information,No Information
RTX,No Information,No Information
SBAC,No Information,No Information
SBUX,Consumer Cyclical,Starbucks Corporation
SCHW,Financial Services,Charles Schwab Corporation (The
SEE,No Information,No Information
SHW,Basic Materials,Sherwin-Williams Company (The)
SIVB,No Information,No Information
SJM,No Information,No Information
SLB,Energy,Schlumberger N.V.
SLG,Real Estate,SL Green Realty Corp
SNA,Industrials,Snap-On Incorporated
SNPS,Technology,"Synopsys, Inc."
SO,Utilities,Southern Company (The)
SPG,No Information,No Information
SPGI,No Information,No Information
SRE,Utilities,Sempra Energy
STE,No Information,No Information
STT,No Information,No Information
STX,No Information,No Information
STZ,No Information,No Information
SWK,Industrials,"Stanley Black & Decker, Inc."
SWKS,Technology,"Skyworks Solutions, Inc."
SYF,No Information,No Information
SYK,Healthcare,Stryker Corporation
SYY,Consumer Defensive,Sysco Corporation
T,Communication Services,AT&T Inc.
TAP,No Information,No Information
TDG,No Information,No Information
TDY,No Information,No Information
TEL,No Information,No Information
TFC,No Information,No Information
TFX,Healthcare,Teleflex Incorporated
TGT,No Information,No Information
TIF,Consumer Cyclical,Tiffany & Co.
TJX,Consumer Cyclical,"TJX Companies, Inc. (The)"
TMO,Healthcare,Thermo Fisher Scientific Inc
TMUS,Communication Services,"T-Mobile US, Inc."
TPR,No Information,No Information
TROW,Financial Services,"T. Rowe Price Group, Inc."
TRV,No Information,No Information
TSCO,Consumer Cyclical,Tractor Supply Company
TSN,Consumer Defensive,"Tyson Foods, Inc."
TT,No Information,No Information
TTWO,Communication Services,"Take-Two Interactive Software, "
TWTR,Communication Services,"Twitter, Inc."
TXN,Technology,Texas Instruments Incorporated
TXT,No Information,No Information
TYL,No Information,No Information
UA,Consumer Cyclical,"Under Armour, Inc."
UAA,Consumer Cyclical,"Under Armour, Inc."
UAL,No Information,No Information
UDR,No Information,No Information
UHS,Healthcare,"Universal Health Services, Inc."
ULTA,Consumer Cyclical,"Ulta Beauty, Inc."
UNH,No Information,No Information
UNM,Financial Services,Unum Group
UNP,Industrials,Union Pacific Corporation
UPS,Industrials,"United Parcel Service, Inc."
URI,Industrials,"United Rentals, Inc."
USB,No Information,No Information
V,Financial Services,Visa Inc.
VAR,No Information,No Information
VFC,Consumer Cyclical,V.F. Corporation
VIAC,No Information,No Information
VLO,No Information,No Information
VMC,Basic Materials,Vulcan Materials Company (Holdi
VNO,No Information,No Information
VRSK,Industrials,"Verisk Analytics, Inc."
VRSN,Technology,"VeriSign, Inc."
VRTX,Healthcare,Vertex Pharmaceuticals Incorpor
VTR,No Information,No Information
VZ,No Information,No Information
WAB,Industrials,Westinghouse Air Brake Technolo
WAT,Healthcare,Waters Corporation
WBA,Healthcare,"Walgreens Boots Alliance, Inc."
WDC,Technology,Western Digital Corporation
WEC,No Information,No Information
WELL,No Information,No Information
WFC,No Information,No Information
WHR,Consumer Cyclical,Whirlpool Corporation
WLTW,No Information,No Information
WM,No Information,No Information
WMB,No Information,No Information
WMT,Consumer Defensive,Walmart Inc.
WRB,No Information,No Information
WRK,Consumer Cyclical,Westrock Company
WST,No Information,No Information
WU,No Information,No Information
WY,Real Estate,Weyerhaeuser Company
WYNN,No Information,No Information
XEL,No Information,No Information
XLNX,Technology,"Xilinx, Inc."
XOM,No Information,No Information
XRAY,No Information,No Information
XRX,No Information,No Information
XYL,Industrials,Xylem Inc.
YUM,No Information,No Information
ZBH,Healthcare,"Zimmer Biomet Holdings, Inc."
ZBRA,Technology,Zebra Technologies Corporation
ZION,Financial Services,Zions Bancorporation N.A.
ZTS,Healthcare,Zoetis Inc.
^GSPC,Market,S&P500
